"address","decimals","name","symbol","type","lookupName","lpToken","vaultToken.address","vaultToken.network","price"
"0xcA3d75aC011BF5aD07a98d02f18225F9bD9A6BDF","18","Curve.fi Tricrypto","crvTricrypto","CurveLP",NA,NA,NA,NA,1549.02992766181
"0xcD7989894bc033581532D2cd88Da5db0A4b12859","18","Uniswap V2: WBTC-BADGER","BADGER-WBTC","UniswapLp",NA,"TRUE",NA,NA,200321941.713928
"0xCEfF51756c56CeFFCA006cD410B03FFC46dd3a58","18","Sushiswap: WBTC-ETH","SLP-WBTC-ETH","SushiswapLp",NA,"TRUE",NA,NA,56357908163.1848
"0xd04c48A53c111300aD41190D63681ed3dAd998eC","18","bCurve.fi renBTC/wBTC/sBTC","bcrvsBTC","Vault",NA,NA,"0x075b1bb99792c9E1041bA13afEf80C91a1e70fB3","eth",44743.0716032597
"0xD533a949740bb3306d119CC777fa900bA034cd52","18","Curve DAO Token","CRV","Contract",NA,NA,NA,NA,2.67
"0xdAC17F958D2ee523a2206206994597C13D831ec7","6","Tether","USDT","Contract",NA,NA,NA,NA,1
"0xDE5331AC4B3630f94853Ff322B66407e0D6331E8","18","Curve.fi pBTC","crvpBTC","CurveLP",NA,NA,NA,NA,43842.5315947125
"0xE143aA25Eec81B4Fc952b38b6Bca8D2395481377","18","Badger Vote Escrowed CVX","bveCVX","Vault",NA,NA,"0x53C8E199eb2Cb7c01543C137078a038937a68E40","eth",10.1718078875526
"0xE86204c4eDDd2f70eE00EAd6805f917671F56c52","18","Uniswap V2: WBTC-DIGG","DIGG-WBTC","UniswapLp",NA,"TRUE",NA,NA,106792363382015
"0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D","8","Ren Protocol BTC","renBTC","Contract","renbtc",NA,NA,NA,43724
"0xf349c0faA80fC1870306Ac093f75934078e28991","18","bCurve.fi oBTC/wBTC","bcrvoBTC","Vault",NA,NA,"0x2fE94ea3d5d4a175184081439753DE15AeF9d614","eth",43872.3372319229
"0xfd05D3C7fe2924020620A8bE4961bBaA747e6305","18","Badger Vote Escrowed CVX","bveCVX","Vault",NA,NA,"0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B","eth",9.51
"0xfE18be6b3Bd88A2D2A7f928d00292E7a9963CfC6","18","Synthetix Network BTC","sBTC","Contract","sbtc",NA,NA,NA,44033
